Tanggal,Harga_Beras,Inflasi,Prediksi
22/07/2023,12450,0.0308,
23/07/2023,12450,0.0308,
24/07/2023,12450,0.0308,
25/07/2023,12450,0.0308,
26/07/2023,12400,0.0308,
27/07/2023,12400,0.0308,
28/07/2023,12400,0.0308,
29/07/2023,12400,0.0308,
30/07/2023,12400,0.0308,
31/07/2023,12400,0.0308,
01/08/2023,12400,0.0327,
02/08/2023,12400,0.0327,
03/08/2023,12400,0.0327,
04/08/2023,12400,0.0327,
05/08/2023,12450,0.0327,
06/08/2023,12450,0.0327,
07/08/2023,12450,0.0327,
08/08/2023,12450,0.0327,
09/08/2023,12450,0.0327,
10/08/2023,12500,0.0327,
11/08/2023,12500,0.0327,
12/08/2023,12500,0.0327,
13/08/2023,12500,0.0327,
14/08/2023,12550,0.0327,
15/08/2023,12550,0.0327,
16/08/2023,12550,0.0327,
17/08/2023,12550,0.0327,
18/08/2023,12600,0.0327,
19/08/2023,12650,0.0327,
20/08/2023,12700,0.0327,
21/08/2023,12750,0.0327,
22/08/2023,12750,0.0327,
23/08/2023,12750,0.0327,
24/08/2023,12800,0.0327,
25/08/2023,12800,0.0327,
26/08/2023,12800,0.0327,
27/08/2023,12800,0.0327,
28/08/2023,12850,0.0327,
29/08/2023,12950,0.0327,
30/08/2023,13050,0.0327,
31/08/2023,13050,0.0327,
01/09/2023,13050,0.0228,
02/09/2023,13050,0.0228,
03/09/2023,13050,0.0228,
04/09/2023,13400,0.0228,
05/09/2023,13600,0.0228,
06/09/2023,13650,0.0228,
07/09/2023,13700,0.0228,
08/09/2023,13750,0.0228,
09/09/2023,13750,0.0228,
10/09/2023,13750,0.0228,
11/09/2023,13750,0.0228,
12/09/2023,13750,0.0228,
13/09/2023,13800,0.0228,
14/09/2023,13800,0.0228,
15/09/2023,13800,0.0228,
16/09/2023,13800,0.0228,
17/09/2023,13850,0.0228,
18/09/2023,13850,0.0228,
19/09/2023,13850,0.0228,
20/09/2023,13900,0.0228,
21/09/2023,13900,0.0228,
22/09/2023,13900,0.0228,
23/09/2023,13900,0.0228,
24/09/2023,13900,0.0228,
25/09/2023,13900,0.0228,
26/09/2023,13900,0.0228,
27/09/2023,13900,0.0228,
28/09/2023,13900,0.0228,
29/09/2023,13900,0.0228,
30/09/2023,13900,0.0228,
01/10/2023,13900,0.0256,
02/10/2023,13900,0.0256,
03/10/2023,13900,0.0256,
